City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,18.78,90,4,1.54,ZA,1675227998
1,albany,42.6001,-73.9662,-7.02,61,98,1.31,US,1675228167
2,papar,5.7333,115.9333,30.0,74,81,2.35,MY,1675228089
3,paamiut,61.994,-49.6678,-9.83,73,100,4.7,GL,1675228198
4,qaanaaq,77.484,-69.3632,-22.46,51,78,3.27,GL,1675228199
5,hilo,19.7297,-155.09,24.6,89,40,3.09,US,1675227953
6,chuy,-33.6971,-53.4616,20.97,93,6,2.27,UY,1675228199
7,hami,42.8,93.45,-0.81,28,96,0.6,CN,1675228200
8,sangar,63.9242,127.4739,-33.29,93,100,2.31,RU,1675228200
9,rikitea,-23.1203,-134.9692,26.12,72,5,6.47,PF,1675228201
10,port alfred,-33.5906,26.891,21.21,97,3,2.61,ZA,1675228201
11,kirakira,-10.4544,161.9205,28.75,72,98,3.24,SB,1675228063
12,upernavik,72.7868,-56.1549,-20.4,93,100,1.85,GL,1675228202
13,new norfolk,-42.7826,147.0587,18.84,30,54,1.79,AU,1675228203
14,yulara,-25.2406,130.9889,34.08,11,3,6.91,AU,1675228203
15,nong kung si,16.65,103.3,30.46,81,22,0.73,TH,1675228204
16,sulangan,11.1373,123.7228,27.07,80,9,4.16,PH,1675228204
17,cockburn town,21.4612,-71.1419,25.04,71,91,8.65,TC,1675228205
18,bethel,41.3712,-73.414,-1.8,59,100,4.12,US,1675228205
19,torit,4.4133,32.5678,27.36,33,33,1.18,SS,1675228206
20,lebu,-37.6167,-73.65,13.6,86,0,9.26,CL,1675227944
21,bengkulu,-3.8004,102.2655,28.51,69,100,4.44,ID,1675228207
22,goya,-29.14,-59.2626,24.62,30,0,1.8,AR,1675228183
23,chokurdakh,70.6333,147.9167,-19.27,97,100,3.5,RU,1675228207
24,nara,34.6851,135.8049,10.28,37,99,4.4,JP,1675228208
25,jamestown,42.097,-79.2353,-7.47,91,0,3.09,US,1675228031
26,mataura,-46.1927,168.8643,20.4,78,100,1.29,NZ,1675228209
27,caravelas,-17.7125,-39.2481,23.42,86,97,1.37,BR,1675228209
28,balikpapan,-1.2675,116.8289,28.55,74,20,1.54,ID,1675228210
29,sibolga,1.7427,98.7792,26.82,77,100,0.44,ID,1675228210
30,kyren,51.6828,102.1408,-9.76,70,63,0.25,RU,1675228211
31,concepcion del oro,24.6333,-101.4167,13.32,63,99,1.63,MX,1675228211
32,vanavara,60.34,102.2797,-15.34,93,100,1.71,RU,1675228212
33,punta arenas,-53.15,-70.9167,12.06,66,20,12.35,CL,1675228021
34,namibe,-15.1961,12.1522,22.13,81,100,1.87,AO,1675228213
35,mahebourg,-20.4081,57.7,28.16,74,75,3.6,MU,1675228213
36,wuwei,37.9281,102.6414,-3.12,29,100,2.58,CN,1675228214
37,maceio,-9.6658,-35.7353,22.69,100,40,2.57,BR,1675227902
38,taraz,42.9,71.3667,0.23,74,78,2.0,KZ,1675228214
39,dikson,73.5069,80.5464,-23.32,92,43,3.55,RU,1675228215
40,san miguel,13.4833,-88.1833,23.9,62,5,0.34,SV,1675228215
41,puerto ayora,-0.7393,-90.3518,24.19,92,73,2.18,EC,1675227950
42,nemuro,43.3236,145.575,-1.66,83,60,3.61,JP,1675228216
43,sungaipenuh,-2.0833,101.3833,25.25,63,99,2.11,ID,1675228216
44,east london,-33.0153,27.9116,23.66,70,4,1.3,ZA,1675228217
45,smolenka,52.1352,113.4974,-11.14,52,11,5.0,RU,1675228217
46,mareeba,-17.0,145.4333,28.4,97,100,1.46,AU,1675228218
47,nyurba,63.2842,118.3319,-28.9,95,97,3.42,RU,1675228218
48,souillac,-20.5167,57.5167,28.21,74,75,3.6,MU,1675228066
49,union,40.6334,-74.2663,1.63,60,100,5.66,US,1675228148
50,daru,-9.0763,143.2092,29.27,79,100,3.48,PG,1675228220
51,crixas,-14.5489,-49.9692,21.65,86,79,0.47,BR,1675228220
52,gat,31.61,34.7642,11.89,100,63,7.9,IL,1675228221
53,castro,-24.7911,-50.0119,17.24,98,100,1.17,BR,1675228049
54,bredasdorp,-34.5322,20.0403,19.46,88,9,2.17,ZA,1675227954
55,cove,7.221,2.3402,23.43,82,50,0.91,BJ,1675228221
56,barinitas,8.7622,-70.4111,20.73,56,2,2.29,VE,1675228222
57,punta alta,-38.8759,-62.0736,18.48,86,100,5.98,AR,1675228216
58,coquimbo,-29.9533,-71.3436,16.85,100,75,1.03,CL,1675228076
59,kapaa,22.0752,-159.319,23.99,90,20,4.63,US,1675228027
60,olinda,-8.0089,-34.8553,26.85,74,75,2.57,BR,1675227770
61,zacapu,19.8333,-101.7167,10.18,67,3,2.15,MX,1675228224
62,georgetown,5.4112,100.3354,29.99,70,20,2.24,MY,1675227934
63,ushuaia,-54.8,-68.3,8.99,88,100,4.16,AR,1675228224
64,faanui,-16.4833,-151.75,27.77,73,100,6.37,PF,1675227953
65,owando,-0.4819,15.8999,21.53,78,58,1.68,CG,1675228225
66,santa fe,-31.6333,-60.7,26.1,67,0,0.89,AR,1675228008
67,blatnica,44.4864,17.8233,-0.84,76,58,2.73,BA,1675228226
68,yellowknife,62.456,-114.3525,-28.22,95,95,4.73,CA,1675228227
69,pacific grove,36.6177,-121.9166,7.82,77,0,2.06,US,1675228227
70,mayo,38.8876,-76.5119,3.06,89,100,1.79,US,1675228152
71,avarua,-21.2078,-159.775,24.03,94,75,5.14,CK,1675228228
72,miramar,25.9873,-80.2323,25.01,83,0,3.09,US,1675228229
73,verkhoyansk,67.5447,133.385,-28.16,97,100,1.21,RU,1675228229
74,pevek,69.7008,170.3133,-14.26,84,36,1.73,RU,1675228230
75,kodiak,57.79,-152.4072,2.73,87,100,3.6,US,1675228230
76,makakilo city,21.3469,-158.0858,25.18,81,0,3.09,US,1675228231
77,nuuk,64.1835,-51.7216,-15.41,88,100,6.26,GL,1675228231
78,miraflores,19.2167,-98.8083,17.15,52,0,1.56,MX,1675228232
79,provideniya,64.3833,-173.3,-3.94,100,100,1.0,RU,1675228153
80,busselton,-33.65,115.3333,27.67,32,0,4.17,AU,1675228233
81,surgana,20.5667,73.6167,25.05,36,60,3.42,IN,1675228233
82,agadez,19.75,10.25,11.28,36,29,4.07,NE,1675228234
83,berlevag,70.8578,29.0864,0.97,75,100,11.83,NO,1675228234
84,bambous virieux,-20.3428,57.7575,28.14,74,75,3.6,MU,1675228234
85,donji milanovac,44.4627,22.1523,1.9,95,99,3.9,RS,1675228235
86,luoyang,34.6836,112.4536,7.17,17,85,8.07,CN,1675228236
87,cape town,-33.9258,18.4232,22.43,85,40,5.14,ZA,1675227963
88,port augusta,-32.5,137.7667,25.07,35,7,7.52,AU,1675228147
89,grindavik,63.8424,-22.4338,-2.74,74,0,2.06,IS,1675228148
90,butaritari,3.0707,172.7902,26.86,79,91,8.02,KI,1675228203
91,alta floresta,-9.8756,-56.0861,20.66,98,31,0.74,BR,1675228237
92,olafsvik,64.8945,-23.7142,-1.23,88,100,6.18,IS,1675228238
93,vidalia,32.2177,-82.4135,17.06,100,100,0.0,US,1675228238
94,bluff,-46.6,168.3333,16.66,90,100,4.55,NZ,1675228232
95,christchurch,-43.5333,172.6333,22.49,73,100,7.72,NZ,1675228004
96,boca do acre,-8.7522,-67.3978,21.82,98,100,1.05,BR,1675228240
97,onega,63.9061,38.1404,-6.74,93,100,3.45,RU,1675228240
98,ponta do sol,32.6667,-17.1,15.4,60,60,2.81,PT,1675228241
99,porto nacional,-10.7081,-48.4172,22.73,81,19,0.72,BR,1675228241
100,tandil,-37.3217,-59.1332,17.6,94,96,3.4,AR,1675228181
101,cherskiy,68.75,161.3,-24.81,100,57,2.73,RU,1675228097
102,fare,-16.7,-151.0167,27.45,74,60,6.99,PF,1675228242
103,geraldton,-28.7667,114.6,33.23,35,0,9.77,AU,1675228243
104,airai,-8.9266,125.4092,21.16,82,82,1.29,TL,1675228015
105,saldanha,-33.0117,17.9442,17.86,91,0,4.88,ZA,1675228244
106,hamilton,39.1834,-84.5333,-3.92,69,100,1.79,US,1675227646
107,labuan,5.2767,115.2417,27.26,78,90,1.61,MY,1675228244
108,kaura namoda,12.5898,6.5779,20.7,13,83,4.25,NG,1675228245
109,boa vista,2.8197,-60.6733,24.99,73,0,2.57,BR,1675227807
110,santa isabel,-23.3156,-46.2214,20.61,95,100,0.86,BR,1675228245
111,merauke,-8.4667,140.3333,29.48,72,100,4.28,ID,1675228246
112,ayan,56.45,138.1667,-20.34,62,96,6.09,RU,1675228246
113,barao de melgaco,-16.1944,-55.9675,22.37,96,99,1.65,BR,1675228247
114,ribeira grande,38.5167,-28.7,10.99,80,98,2.24,PT,1675228247
115,dryden,49.7833,-92.7503,-27.5,100,65,1.19,CA,1675228248
116,micheweni,-4.9667,39.8333,26.6,75,6,2.62,TZ,1675228248
117,banjar,-8.19,114.9675,29.17,79,89,1.82,ID,1675228249
118,tecoanapa,16.5167,-98.75,23.55,78,0,2.06,MX,1675228249
119,cabo san lucas,22.8909,-109.9124,18.12,65,66,1.64,MX,1675228250
120,rio gallegos,-51.6226,-69.2181,12.37,60,100,0.72,AR,1675228001
121,los llanos de aridane,28.6585,-17.9182,12.86,77,100,4.63,ES,1675228250
122,ahipara,-35.1667,173.1667,22.94,76,99,3.71,NZ,1675228251
123,dabakala,8.3667,-4.4333,22.7,20,65,0.18,CI,1675228251
124,kemijarvi,66.7131,27.4306,-12.97,97,100,1.22,FI,1675228252
125,ilulissat,69.2167,-51.1,-16.99,66,75,4.12,GL,1675228252
126,khorol,49.7837,33.2783,-1.36,96,100,2.06,UA,1675228253
127,carnarvon,-24.8667,113.6333,27.47,67,44,6.37,AU,1675228216
128,severo-kurilsk,50.6789,156.125,-3.83,58,64,2.14,RU,1675228253
129,thompson,55.7435,-97.8558,-33.2,98,100,1.35,CA,1675228254
130,lorengau,-2.0226,147.2712,28.17,75,57,3.49,PG,1675228254
131,chake chake,-5.2459,39.7666,26.45,74,5,2.29,TZ,1675228255
132,gizo,-8.103,156.8419,28.63,73,97,4.44,SB,1675228255
133,saint-philippe,-21.3585,55.7679,27.28,85,93,4.95,RE,1675228256
134,acapulco,16.8634,-99.8901,23.9,78,0,1.03,MX,1675228219
135,isangel,-19.55,169.2667,28.12,74,100,1.69,VU,1675228256
136,oriximina,-1.7656,-55.8661,22.7,93,100,1.16,BR,1675228257
137,jijiga,9.35,42.8,18.35,38,3,3.23,ET,1675228257
138,port blair,11.6667,92.75,30.02,70,20,2.57,IN,1675228180
139,nikolskoye,59.7035,30.7861,-0.05,85,99,3.25,RU,1675228258
140,kendari,-3.945,122.4989,27.66,77,100,2.16,ID,1675228259
141,torbay,47.6666,-52.7314,1.6,95,75,9.26,CA,1675228259
142,ancud,-41.8697,-73.8203,9.23,88,0,1.26,CL,1675228259
143,vaini,-21.2,-175.2,28.09,83,75,4.12,TO,1675228260
144,sao filipe,14.8961,-24.4956,21.42,71,87,4.6,CV,1675228260
145,clyde river,70.4692,-68.5914,-36.83,84,11,1.52,CA,1675228261
146,turka,49.1541,23.0297,-1.61,92,99,4.56,UA,1675228261
147,gijon,43.5357,-5.6615,9.33,83,86,1.34,ES,1675228262
148,sinjar,36.3209,41.8754,5.76,87,54,1.82,IQ,1675228262
149,saint george,37.1041,-113.5841,-1.14,42,0,3.6,US,1675228206
150,westport,41.1415,-73.3579,0.18,56,100,4.63,US,1675228091
151,karratha,-20.7377,116.8463,35.35,45,18,7.64,AU,1675228263
152,bumbesti-jiu,45.1667,23.4,-1.6,85,42,2.34,RO,1675228264
153,atuona,-9.8,-139.0333,26.12,77,64,10.66,PF,1675228264
154,mount gambier,-37.8333,140.7667,18.08,40,88,4.4,AU,1675228265
155,norman wells,65.282,-126.8329,-35.59,100,39,0.69,CA,1675228242
156,vao,-22.6667,167.4833,26.37,77,86,5.91,NC,1675228265
157,kamenka,51.3223,42.7678,-2.95,93,100,3.9,RU,1675228266
158,kulhudhuffushi,6.6221,73.07,26.8,75,94,6.52,MV,1675228266
159,padang,-0.9492,100.3543,30.03,69,100,2.29,ID,1675228045
160,cam ranh,11.9214,109.1591,25.98,69,75,3.6,VN,1675228062
161,sistranda,63.7256,8.834,-3.02,69,100,5.12,NO,1675228267
162,bilma,18.6853,12.9164,13.77,31,100,5.97,NE,1675228268
163,kavieng,-2.5744,150.7967,28.39,72,93,3.84,PG,1675228268
164,banda aceh,5.5577,95.3222,28.07,65,82,1.16,ID,1675228269
165,clinton,42.587,-82.9199,-8.99,75,0,2.57,US,1675227990
166,rio grande,-32.035,-52.0986,23.14,84,0,1.11,BR,1675228270
167,batagay-alyta,67.8006,130.4114,-23.12,99,100,1.21,RU,1675228270
168,borovskoy,53.8,64.15,-15.62,87,69,3.39,KZ,1675228271
169,fenyi,27.8112,114.6681,21.82,38,0,0.55,CN,1675228271
170,aykhal,66.0,111.5,-29.27,98,46,2.86,RU,1675228272
171,pisco,-13.7,-76.2167,23.03,78,0,4.63,PE,1675228272
172,sterling,39.0062,-77.4286,2.0,91,100,2.57,US,1675228021
